Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,1,29,420,0.636
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,2,29,420,0.615
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,3,29,420,0.64
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,4,29,420,0.669
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,5,29,420,0.64
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,6,29,420,0.664
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,7,29,420,0.638
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,8,29,420,0.685
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,9,29,420,0.658
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,10,29,420,0.66
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,1,35,420,0.64
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,2,35,420,0.635
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,3,35,420,0.619
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,4,35,420,0.623
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,5,35,420,0.619
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,6,35,420,0.635
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,7,35,420,0.631
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,8,35,420,0.639
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,9,35,420,0.607
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,10,35,420,0.621
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,1,38,420,0.372
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,2,38,420,0.324
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,3,38,420,0.363
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,4,38,420,0.442
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,5,38,420,0.387
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,6,38,420,0.492
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,7,38,420,0.406
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,8,38,420,0.481
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,9,38,420,0.298
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,10,38,420,0.43
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,1,41,420,0.002
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,2,41,420,0
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,3,41,420,0
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,4,41,420,0.002
202211_DEU_Zugspitze-Feldberg,20221114,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,5,41,420,0
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,6,41,420,0.002
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,7,41,420,0
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,8,41,420,0
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,9,41,420,0.007
202211_DEU_Zugspitze-Feldberg,20221115,DEU,47.42123,10.98632,Zugspitze,Nursery,Acropora germania,10,41,420,0
202211_DEU_Zugspitze-Feldberg,20221113,DEU,47.42123,10.98632,Zugspitze,Wild,Acropora germania,1,29,420,0.608
202211_DEU_Zugspitze-Feldberg,20221113,DEU,47.42123,10.98632,Zugspitze,Wild,Acropora germania,2,29,420,0.651
202211_DEU_Zugspitze-Feldberg,20221113,DEU,47.42123,10.98632,Zugspitze,Wild,Acropora germania,3,29,420,0.558
